price,details,descr,link
$ 370.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111677
$ 274.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192111698
$ 233.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111900
$ 459.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111458
$ 1.100.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112136
$ 260.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192111316
$ 700.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111545
$ 850.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111563
$ 450.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111618
$ 360.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111655
$ 350.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112355
$ 1.420.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112171
$ 700.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112408
$ 205.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111619
$ 398.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111461
$ 450.000.000,6 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192111425
$ 200.000.000,72 m²,Lote en Venta,https://www.fincaraiz.com.co/lote-en-venta/192111736
$ 310.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111733
$ 950.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111530
$ 1.340.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111961
$ 420.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112072
$ 1.340.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111961
$ 350.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112594
$ 420.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112072
$ 470.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112086
$ 650.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112194
$ 440.000.000,7 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112202
$ 1.300.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112221
$ 1.195.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112135
$ 1.900.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112674
$ 399.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112675
$ 520.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112703
$ 980.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112715
$ 1.250.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112713
$ 545.000.000,6 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112748
$ 200.000.000,2 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112677
Desde $ 540.203.700,2 Habs.,EL ROBLE,https://www.fincaraiz.com.co/proyectos-vivienda/el-roble/15017286
$ 300.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112684
$ 500.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112712
$ 950.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112739
$ 479.000.000,6 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192111324
$ 2.900.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111421
$ 780.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192111879
$ 2.900.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111421
$ 450.000.000,7 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192111325
$ 820.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111622
$ 310.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192111781
